neighbourhood,stadsdeel,lat,long
Bijlmer-Oost,Zuidoost,52.32336931905056,4.977729820098882
Bijlmer-Oost,Zuidoost,52.31563541152141,4.978166362035691
Bijlmer-Oost,Zuidoost,52.316710723876675,4.986617637373466
Bijlmer-Oost,Zuidoost,52.32120440198549,4.976630069552119
Bijlmer-Oost,Zuidoost,52.32727036486493,4.967351995112772
Bijlmer-Oost,Zuidoost,52.31458745319172,4.975385079227264
Bijlmer-Oost,Zuidoost,52.32698144329306,4.982948910311373
Bijlmer-Oost,Zuidoost,52.31458819291751,4.982022448792976
Bijlmer-Oost,Zuidoost,52.318813583677134,4.980408507863993
Bijlmer-Oost,Zuidoost,52.31443490337085,4.9823508652376685
Bijlmer-Oost,Zuidoost,52.32319028010555,4.972298405760071
Bijlmer-Oost,Zuidoost,52.32263415001058,4.960662732686624
Bijlmer-Oost,Zuidoost,52.31948394808429,4.979978079623521
Bijlmer-Oost,Zuidoost,52.32104252028143,4.977695125471293
Bijlmer-Oost,Zuidoost,52.321851249294134,4.974270640821966
Bijlmer-Oost,Zuidoost,52.31760099667676,4.985381723329465
Bijlmer-Oost,Zuidoost,52.31696878267676,4.9854364966648905
Bijlmer-Oost,Zuidoost,52.315078493459914,4.977655601361187
Bijlmer-Oost,Zuidoost,52.32211295081488,4.9626411051784975
Bijlmer-Oost,Zuidoost,52.32638861547034,4.973649067775268
Bijlmer-Oost,Zuidoost,52.323287388827,4.966810792092373
Bijlmer-Oost,Zuidoost,52.31637788819628,4.982909355307574
Bijlmer-Oost,Zuidoost,52.32127464362183,4.9696730624067875
Bijlmer-Oost,Zuidoost,52.324548142399564,4.975968402539098
Bijlmer-Oost,Zuidoost,52.31514757487573,4.985660235972804
Bijlmer-Oost,Zuidoost,52.32400385763509,4.957927068207733
Bijlmer-Oost,Zuidoost,52.32236610574357,4.97283838863628
Bijlmer-Oost,Zuidoost,52.326046437240386,4.970389813865916
Bijlmer-Oost,Zuidoost,52.322464483863165,4.971780573369085
Bijlmer-Oost,Zuidoost,52.324883064229994,4.9710832341573745
Bijlmer-Oost,Zuidoost,52.319784253576934,4.962587247424782
Bijlmer-Oost,Zuidoost,52.317676690816754,4.97911781662621
Bijlmer-Oost,Zuidoost,52.318280641259854,4.97851297936739
Bijlmer-Oost,Zuidoost,52.3186501651247,4.977307164547889
Bijlmer-Oost,Zuidoost,52.32378862157053,4.981497041813799
Bijlmer-Oost,Zuidoost,52.321211474612745,4.9788677578804075
Bijlmer-Oost,Zuidoost,52.32466336358793,4.9744728650035555
Bijlmer-Oost,Zuidoost,52.32484179665963,4.982480159171627
Bijlmer-Oost,Zuidoost,52.32100583630295,4.961115220537148
Bijlmer-Oost,Zuidoost,52.31572525215219,4.985908235499816
Bijlmer-Oost,Zuidoost,52.318924640399615,4.978956258058247
Bijlmer-Oost,Zuidoost,52.32643008463671,4.982602234999557
Bijlmer-Oost,Zuidoost,52.32333428485076,4.977622366092019
Bijlmer-Oost,Zuidoost,52.3179152282139,4.96662438256415
Bijlmer-Oost,Zuidoost,52.32344011082727,4.972190539578077
Bijlmer-Oost,Zuidoost,52.31742485343347,4.9796067717734624
Bijlmer-Oost,Zuidoost,52.324584742919754,4.978723905390833
Bijlmer-Oost,Zuidoost,52.31946953204911,4.96476080398304
Bijlmer-Oost,Zuidoost,52.31781329483963,4.98580325507547
Bijlmer-Oost,Zuidoost,52.32177089024753,4.980814206598688
Bijlmer-Oost,Zuidoost,52.31638334963021,4.979504637406429
Bijlmer-Oost,Zuidoost,52.3178593955657,4.979526404699839
Bijlmer-Oost,Zuidoost,52.320836316836186,4.976739857187362
Bijlmer-Oost,Zuidoost,52.31524819385754,4.976901010962061
Bijlmer-Oost,Zuidoost,52.32075380860257,4.975741186930377
Bijlmer-Oost,Zuidoost,52.32063557270274,4.96554726611147
Bijlmer-Oost,Zuidoost,52.32358429309952,4.969166409127385
Bijlmer-Oost,Zuidoost,52.31708706894267,4.97196883731886
Bijlmer-Oost,Zuidoost,52.314077035377444,4.983944620866238
Bijlmer-Oost,Zuidoost,52.317192569145554,4.977787542200826
Bijlmer-Oost,Zuidoost,52.322131996253056,4.977425952077016
Bijlmer-Oost,Zuidoost,52.32137917167616,4.978442775775938
Bijlmer-Oost,Zuidoost,52.32216128044978,4.971087356917402
Bijlmer-Oost,Zuidoost,52.321494807579306,4.978443345331418
Bijlmer-Oost,Zuidoost,52.32231416120611,4.9615935128732325
Bijlmer-Oost,Zuidoost,52.32022149637086,4.983093684459531
Bijlmer-Oost,Zuidoost,52.3216185549668,4.9782714052738815
Bijlmer-Oost,Zuidoost,52.32093767789479,4.987733661319591
Bijlmer-Oost,Zuidoost,52.31780455911641,4.979334761978678
Bijlmer-Oost,Zuidoost,52.315537618774215,4.986962203241578
Bijlmer-Oost,Zuidoost,52.3221141271703,4.968947972708498
Bijlmer-Oost,Zuidoost,52.32338893543207,4.974380320636552
Noord-Oost,Noord,52.39644425026537,4.937716754511974
Noord-Oost,Noord,52.39703677518472,4.933106953430053
Noord-Oost,Noord,52.38281122301121,4.966894741231812
Noord-Oost,Noord,52.383080870846385,4.977900950233365
Noord-Oost,Noord,52.38418717538116,4.962456476608059
Noord-Oost,Noord,52.379975654356556,4.970049351264018
Noord-Oost,Noord,52.37590165819068,4.976176668695283
Noord-Oost,Noord,52.39617221167427,5.000099679740846
Noord-Oost,Noord,52.39542266954537,4.939204805167691
Noord-Oost,Noord,52.40266644238365,4.925218320969924
Noord-Oost,Noord,52.395805772608426,4.992438640895119
Noord-Oost,Noord,52.40666127314348,4.932477068867378
Noord-Oost,Noord,52.39990889715478,4.9299913307223795
Noord-Oost,Noord,52.40708816719704,4.9332236523879995
Noord-Oost,Noord,52.40238962052545,4.942974958767861
Noord-Oost,Noord,52.41121372991402,4.947321391956235
Noord-Oost,Noord,52.400540632108175,4.9465223063857495
Noord-Oost,Noord,52.40439735872482,4.930698005699911
Noord-Oost,Noord,52.40939259639596,4.961788397510197
Noord-Oost,Noord,52.37934389044851,4.992835191409888
Noord-Oost,Noord,52.39390746619781,4.990683052314005
Noord-Oost,Noord,52.406017602260164,4.930087464309865
Noord-Oost,Noord,52.399905281291275,4.932259837954117
Noord-Oost,Noord,52.3991272984682,4.953999697510392
Noord-Oost,Noord,52.40774817762915,4.933144005773879
Noord-Oost,Noord,52.38321681317853,4.964143576125548
Noord-Oost,Noord,52.40700507925355,4.933508070228482
Noord-Oost,Noord,52.39933085311902,4.932646903429829
Noord-Oost,Noord,52.40319980976761,4.944405472038638
Noord-Oost,Noord,52.410792647116786,4.961213564267616
Noord-Oost,Noord,52.406646029320655,4.928136325823258
Noord-Oost,Noord,52.41324444611566,4.946152859586055
Noord-Oost,Noord,52.41048558855645,4.961479907175513
